instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;leaflets;price reduction;casual;registered;cnt
1;01.01.2011;;0;1;0;6;0;2;13.7667;0.363625;120.87495;0.160446;755;0;331;654;985
2;02.01.2011;1.0;0;1;0;0;0;2;14.5391;0.3537389999999999;104.41305;0.2485389999999999;837;1;131;670;801
3;03.01.2011;;0;1;0;1;1;1;7.8546;0.189405;65.59095;0.248309;829;0;120;1229;1349
4;04.01.2011;1.0;0;1;0;2;1;1;8.0;0.2121219999999999;88.56525;0.160296;734;0;108;1454;1562
5;05.01.2011;1.0;0;1;0;3;1;1;9.0783;0.2292699999999999;65.54355;0.1869;745;0;82;1518;1600
6;06.01.2011;1.0;0;1;0;4;1;1;8.1739;0.233209;77.73915;0.0895652;734;1;88;1518;1606
8;08.01.2011;1.0;0;1;0;6;0;2;6.6;0.162254;80.37495;0.266804;990;0;68;891;959
9;09.01.2011;1.0;0;1;0;0;0;1;5.5333;0.116175;65.12505;0.36195;836;0;54;768;822
10;10.01.2011;1.0;0;1;0;1;1;1;6.0333;0.150888;72.43755;0.223267;897;0;41;1280;1321
12;12.01.2011;1.0;0;1;0;3;1;1;6.9091;0.160473;89.93175;0.304627;889;0;25;1137;1162
13;13.01.2011;1.0;0;1;0;4;1;1;6.6;0.150883;70.56255;0.301;572;1;38;1368;1406
15;15.01.2011;1.0;0;1;0;6;0;2;9.3333;0.248112;74.8125;0.157963;991;0;222;1026;1248
17;17.01.2011;1.0;0;1;1;1;0;2;7.0333;0.176771;80.625;0.194017;650;0;117;883;1000
19;19.01.2011;1.0;0;1;0;3;1;2;11.687;0.2984219999999999;111.26085;0.208317;1024;0;78;1572;1650
20;20.01.2011;1.0;0;1;0;4;1;2;10.4667;0.25505;;0.195904;992;0;83;1844;1927
21;21.01.2011;1.0;0;1;0;5;1;1;7.1;0.157833;68.56245;0.353242;725;0;75;1468;1543
22;22.01.2011;1.0;0;1;0;6;0;1;2.3652;0.0790696;60.0;0.17197;891;0;93;888;981
23;23.01.2011;1.0;0;1;0;0;0;1;3.8609;0.0988391;65.4783;0.2466;932;1;150;836;986
25;25.01.2011;1.0;0;1;0;2;1;2;8.9391;0.234526;92.54355;0.129796;977;0;186;1799;1985
26;26.01.2011;1.0;0;1;0;3;1;3;8.7;0.2036;129.375;0.29385;602;0;34;472;506
28;28.01.2011;1.0;0;1;0;5;1;2;8.1391;0.223317;118.95645;0.1233;854;0;38;1129;1167
29;29.01.2011;1.0;0;1;0;6;0;1;7.8609;0.212126;;0.145365;1018;0;123;975;1098
30;30.01.2011;1.0;0;1;0;0;0;1;8.6609;0.250322;108.3261;0.0739826;548;0;140;956;1096
31;31.01.2011;;0;1;0;1;1;2;7.2333;0.18625;90.5625;0.187192;901;0;42;1459;1501
32;01.02.2011;1.0;0;2;0;2;1;2;7.687;0.23453;124.43475;0.0532129999999999;914;0;47;1313;1360
33;02.02.2011;1.0;0;2;0;3;1;2;10.4;0.254417;116.31255;0.264308;678;0;72;1454;1526
36;05.02.2011;1.0;0;2;0;6;0;2;9.3333;0.243058;139.37505;0.161079;707;0;100;905;1005
37;06.02.2011;1.0;0;2;0;0;0;1;11.4333;0.291671;85.24995;0.1418;565;0;354;1269;1623
39;08.02.2011;1.0;0;2;0;2;1;1;8.8333;0.198246;80.68755;0.36195;611;0;64;1466;1530
40;09.02.2011;;0;2;0;3;1;2;5.3913;0.144283;74.21745;0.188839;474;0;53;1552;1605
41;10.02.2011;1.0;0;2;0;4;1;1;5.7739;0.149548;65.60865;0.221935;840;0;47;1491;1538
42;11.02.2011;1.0;0;2;0;5;1;1;7.5636;0.213509;75.9546;0.10855;946;0;149;1597;1746
43;12.02.2011;1.0;0;2;0;6;0;1;8.9;0.232954;81.62505;0.203367;709;0;288;1184;1472
44;13.02.2011;1.0;0;2;0;0;0;1;12.6609;0.324113;68.60865;0.260883;686;1;397;1192;1589
45;14.02.2011;1.0;0;2;0;1;1;1;16.6;0.39835;56.37495;0.417908;949;1;208;1705;1913
46;15.02.2011;1.0;0;2;0;2;1;1;10.6435;0.254274;47.1522;0.2913739999999999;565;0;140;1675;1815
47;16.02.2011;1.0;0;2;0;3;1;1;12.7304;0.3162;63.5217;0.251791;1029;0;218;1897;2115
48;17.02.2011;1.0;0;2;0;4;1;1;17.4333;0.428658;75.75;0.230104;756;0;259;2216;2475
49;18.02.2011;1.0;0;2;0;5;1;1;20.8667;0.511983;77.50005;0.264925;681;0;579;2348;2927
50;19.02.2011;;0;2;0;6;0;1;15.9667;0.391404;28.18755;0.507463;623;0;532;1103;1635
51;20.02.2011;1.0;0;2;0;0;0;1;11.4087;0.27733;61.1739;0.223235;628;0;639;1173;1812
52;21.02.2011;1.0;0;2;1;1;0;2;12.1333;0.284075;90.75;0.307846;802;0;195;912;1107
54;23.02.2011;1.0;0;2;0;3;1;1;8.8696;0.245717;63.45645;0.094113;674;1;139;1778;1917
55;24.02.2011;1.0;0;2;0;4;1;2;11.8261;0.289191;104.60865;0.250496;759;0;100;1707;1807
56;25.02.2011;1.0;0;2;0;5;1;2;14.5739;0.350461;;0.346539;493;0;120;1341;1461
57;26.02.2011;1.0;0;2;0;6;0;1;11.3;0.282192;80.68755;0.186571;522;0;424;1545;1969
58;27.02.2011;1.0;0;2;0;0;0;1;13.7391;0.351109;102.0;0.125248;736;0;694;1708;2402
59;28.02.2011;1.0;0;2;0;1;1;2;16.2909;0.400118;;0.289686;471;1;81;1365;1446
60;01.03.2011;1.0;0;3;0;2;1;1;10.6667;0.263879;80.25;0.216425;971;0;137;1714;1851
62;03.03.2011;1.0;0;3;0;4;1;1;7.9333;0.200133;47.74995;0.225754;759;0;123;1562;1685
63;04.03.2011;1.0;0;3;0;5;1;2;10.4667;0.255679;91.56255;0.203346;932;1;214;1730;1944
65;06.03.2011;1.0;0;3;0;0;0;2;15.0609;0.366252;142.23915;0.343287;667;0;114;491;605
66;07.03.2011;1.0;0;3;0;1;1;1;10.4696;0.238461;82.6956;0.341352;981;1;244;1628;1872
67;08.03.2011;1.0;0;3;0;2;1;1;11.7;0.3024;63.12495;0.12065;924;0;316;1817;2133
68;09.03.2011;1.0;0;3;0;3;1;2;11.8333;0.286608;116.31255;0.22015;521;1;191;1700;1891
70;11.03.2011;1.0;0;3;0;5;1;2;12.6609;0.305;97.43475;0.2329699999999999;487;1;247;1730;1977
71;12.03.2011;1.0;0;3;0;6;0;1;13.1667;0.32575;89.18745;0.220775;580;0;724;1408;2132
72;13.03.2011;1.0;0;3;0;0;0;1;15.3739;0.380091;79.10865;0.270604;943;0;982;1435;2417
73;14.03.2011;1.0;0;3;0;1;1;1;13.0087;0.332;74.54355;0.136926;926;0;359;1687;2046
75;16.03.2011;1.0;0;3;0;3;1;2;14.6087;0.36693;116.4783;0.203117;837;0;321;1871;2192
76;17.03.2011;1.0;0;3;0;4;1;1;16.6;0.410333;90.43755;0.209579;649;0;424;2320;2744
77;18.03.2011;1.0;0;3;0;5;1;1;21.6;0.5270090000000001;78.78255;0.231017;799;0;884;2355;3239
78;19.03.2011;1.0;0;3;0;6;0;1;18.9;0.466525;56.87505;0.368167;1022;1;1424;1693;3117
79;20.03.2011;1.0;0;3;0;0;0;1;13.3;0.32575;71.0625;0.207721;870;0;1047;1424;2471
80;21.03.2011;2.0;0;3;0;1;1;2;17.2174;0.409735;110.60865;0.288783;817;0;401;1676;2077
81;22.03.2011;;0;3;0;2;1;1;17.6667;0.440642;93.68745;0.22575;551;0;460;2243;2703
82;23.03.2011;2.0;0;3;0;3;1;2;13.8783;0.337939;125.93475;0.234261;516;0;203;1918;2121
83;24.03.2011;2.0;0;3;0;4;1;2;11.4;0.270833;120.87495;0.2437869999999999;861;0;166;1699;1865
84;25.03.2011;2.0;0;3;0;5;1;1;10.5667;0.256312;74.25;0.230725;776;0;300;1910;2210
87;28.03.2011;;0;3;0;1;1;1;10.5739;0.2575739999999999;45.3261;0.212204;870;0;222;1806;2028
88;29.03.2011;2.0;0;3;0;2;1;1;12.1;0.292908;47.12505;0.226996;829;0;317;2108;2425
91;01.04.2011;2.0;0;4;0;5;1;2;12.0;0.283454;102.9375;0.258708;699;1;307;1920;2227
92;02.04.2011;2.0;0;4;0;6;0;2;12.6;0.315637;98.0625;0.197146;672;0;898;1354;2252
93;03.04.2011;2.0;0;4;0;0;0;1;15.1333;0.378767;72.0;0.182213;829;0;1651;1598;3249
95;05.04.2011;2.0;0;4;0;2;1;2;16.5667;0.39835;96.31245;0.388067;626;0;167;1628;1795
96;06.04.2011;2.0;0;4;0;3;1;1;15.6333;0.387608;70.62495;0.263063;789;0;413;2395;2808
97;07.04.2011;2.0;0;4;0;4;1;1;17.5;0.433696;90.43755;0.1623119999999999;929;0;571;2570;3141
98;08.04.2011;2.0;0;4;0;5;1;2;13.4333;0.324479;125.4375;0.226992;907;0;172;1299;1471
99;09.04.2011;2.0;0;4;0;6;0;2;13.7;0.3415289999999999;131.625;0.1330829999999999;803;0;879;1576;2455
100;10.04.2011;2.0;0;4;0;0;0;2;17.0667;0.426737;128.625;0.146767;661;0;1188;1707;2895
101;11.04.2011;2.0;0;4;0;1;1;2;23.8261;0.565217;107.5434;0.324474;799;0;855;2493;3348
102;12.04.2011;2.0;0;4;0;2;1;2;20.1;0.493054;110.87505;0.274879;813;0;257;1777;2034
103;13.04.2011;2.0;0;4;0;3;1;2;16.5;0.417283;122.87505;0.250617;694;1;209;1953;2162
104;14.04.2011;2.0;0;4;0;4;1;1;18.7;0.462742;81.06255;0.1107;726;0;529;2738;3267
106;16.04.2011;2.0;0;4;0;6;0;3;17.2333;0.425492;133.24995;0.340808;577;0;121;674;795
107;17.04.2011;2.0;0;4;0;-1;0;1;18.2667;0.445696;71.93745;0.303496;676;0;1558;2186;3744
108;18.04.2011;;0;4;0;1;1;1;20.5;0.503146;81.375;0.163567;637;0;669;2760;3429
109;19.04.2011;2.0;0;4;0;2;1;2;20.2333;0.4892579999999999;99.87495;0.157971;707;0;409;2795;3204
110;20.04.2011;2.0;0;4;0;3;1;1;23.8;0.564392;92.12505;0.241925;750;1;613;3331;3944
111;21.04.2011;2.0;0;4;0;4;1;1;18.3667;0.453892;61.06245;0.325258;995;0;745;3444;4189
112;22.04.2011;2.0;0;4;0;5;1;2;13.4667;0.321954;109.43745;0.219521;540;1;177;1506;1683
114;24.04.2011;2.0;0;4;0;0;0;2;23.2667;0.551763;121.62495;0.192175;697;0;1710;2481;4191
115;25.04.2011;2.0;0;4;0;1;1;1;24.2667;0.5745;116.50005;0.185333;757;0;773;3300;4073
117;27.04.2011;2.0;0;4;0;3;1;2;24.8;0.575142;125.31255;0.3122;849;1;547;3325;3872
118;28.04.2011;;0;4;0;4;1;2;24.7;0.578929;;0.3209079999999999;763;0;569;3489;4058
119;29.04.2011;2.0;0;4;0;5;1;1;20.4;0.497463;68.56245;0.240063;911;1;878;3717;4595
122;02.05.2011;2.0;0;5;0;1;1;2;21.9667;0.532833;;0.183454;504;0;847;3554;4401
123;03.05.2011;2.0;0;5;0;2;1;2;24.6667;0.582079;104.56245;0.342667;666;0;603;3848;4451
124;04.05.2011;;0;5;0;3;1;2;16.5667;0.40465;110.56245;0.328996;569;0;255;2378;2633
125;05.05.2011;;0;5;0;4;1;1;18.3667;0.441917;66.62505;0.295392;789;0;614;3819;4433
126;06.05.2011;2.0;0;5;0;5;1;1;19.1667;0.474117;;0.228246;695;0;894;3714;4608
127;07.05.2011;2.0;0;5;0;6;0;1;20.8;0.512621;81.1875;0.16045;1014;0;1612;3102;4714
128;08.05.2011;2.0;0;5;0;0;0;1;21.1333;0.518933;94.75005;0.0746375;991;0;1401;2932;4333
129;09.05.2011;2.0;0;5;0;1;1;1;21.3;0.525246;88.3125;0.176;838;0;664;3698;4362
130;10.05.2011;2.0;0;5;0;2;1;1;21.3;0.522721;73.37505;0.115671;473;0;694;4109;4803
131;11.05.2011;2.0;0;5;0;3;1;1;21.7;0.5284;94.93755;0.120642;549;0;550;3632;4182
132;12.05.2011;2.0;0;5;0;4;1;1;21.4;0.523363;;0.189667;983;0;695;4169;4864
134;14.05.2011;2.0;0;5;0;6;0;2;20.8333;0.500629;138.375;0.13495;928;0;902;2507;3409
135;15.05.2011;2.0;0;5;0;0;0;2;22.5;0.536;130.06245;0.152979;1024;0;1582;2971;4553
136;16.05.2011;2.0;0;5;0;1;1;1;23.1;0.550512;118.18755;0.126871;470;0;773;3185;3958
137;17.05.2011;2.0;0;5;0;2;1;2;22.4667;0.538529;125.68755;0.277354;537;0;678;3445;4123
138;18.05.2011;2.0;0;5;0;3;1;2;22.0;0.527158;;0.201492;832;0;536;3319;3855
139;19.05.2011;2.0;0;5;0;4;1;2;21.2333;0.510742;124.43745;0.108213;878;0;735;3840;4575
140;20.05.2011;2.0;0;5;0;5;1;1;21.4667;0.529042;107.93745;0.125013;528;0;909;4008;4917
142;22.05.2011;;0;5;0;0;0;1;24.1667;0.5745;112.43745;0.148008;703;0;1576;3084;4660
143;23.05.2011;;0;5;0;1;1;2;25.2667;0.590296;121.5;0.233842;545;0;836;3438;4274
144;24.05.2011;2.0;0;5;0;2;1;2;26.4;0.604813;111.12495;0.207092;829;0;659;3833;4492
145;25.05.2011;2.0;0;5;0;3;1;1;26.4333;0.615542;104.4375;0.1542329999999999;702;0;740;4238;4978
146;26.05.2011;2.0;0;5;0;4;1;1;28.3333;0.654688;101.625;0.199642;720;0;758;3919;4677
147;27.05.2011;2.0;0;5;0;5;1;1;27.2667;0.637008;98.0625;0.240679;789;0;871;3808;4679
148;28.05.2011;2.0;0;5;0;6;0;1;26.2333;0.612379;109.43745;0.230092;712;0;2001;2757;4758
149;29.05.2011;2.0;0;5;0;0;0;1;26.7;0.61555;;0.213938;667;1;2355;2433;4788
150;30.05.2011;2.0;0;5;1;1;0;1;29.3333;0.671092;102.75;0.131225;483;0;1549;2549;4098
151;31.05.2011;2.0;0;5;0;2;1;1;31.0;0.725383;95.50005;0.111329;843;0;673;3309;3982
152;01.06.2011;2.0;0;6;0;3;1;2;30.5667;0.720967;101.56245;0.207092;694;0;513;3461;3974
153;02.06.2011;2.0;0;6;0;4;1;1;28.6;0.643942;45.75;0.2922869999999999;740;1;736;4232;4968
154;03.06.2011;2.0;0;6;0;5;1;1;24.8;0.587133;53.12505;0.253121;991;0;898;4414;5312
155;04.06.2011;2.0;0;6;0;6;0;1;25.4;0.594696;68.4375;-1.0;624;0;1869;3473;5342
156;05.06.2011;2.0;0;6;0;0;0;2;25.9333;0.616804;97.875;0.138692;495;0;1685;3221;4906
157;06.06.2011;2.0;0;6;0;1;1;1;27.1333;0.621858;90.0;0.121896;912;0;673;3875;4548
158;07.06.2011;2.0;0;6;0;2;1;1;28.3;0.65595;89.68755;0.187808;464;1;763;4070;4833
160;09.06.2011;2.0;0;6;0;4;1;2;32.3333;0.757579;85.24995;0.149883;906;0;563;3352;3915
161;10.06.2011;2.0;0;6;0;5;1;1;30.2;0.703292;90.75;0.1405539999999999;840;0;815;3771;4586
162;11.06.2011;2.0;0;6;0;6;0;1;29.0;0.678038;98.18745;0.15485;841;0;1729;3237;4966
163;12.06.2011;2.0;0;6;0;0;0;1;27.7;0.643325;112.18755;0.163567;495;0;1467;2993;4460
164;13.06.2011;2.0;0;6;0;1;1;1;25.4;0.601654;74.18745;0.30535;706;0;863;4157;5020
165;14.06.2011;2.0;0;6;0;2;1;1;24.1667;0.591546;76.06245;0.269283;858;0;727;4164;4891
166;15.06.2011;;0;6;0;3;1;1;25.0667;0.587754;70.75005;0.1679119999999999;749;0;769;4411;5180
167;16.06.2011;2.0;0;6;0;4;1;2;25.1333;0.595346;103.24995;0.206471;462;0;545;3222;3767
168;17.06.2011;2.0;0;6;0;5;1;1;25.9667;0.600383;110.37495;0.143029;659;1;863;3981;4844
169;18.06.2011;2.0;0;6;0;6;0;1;27.8667;0.643954;100.56255;0.1194079999999999;617;0;1807;3312;5119
170;19.06.2011;2.0;0;6;0;-1;0;2;27.9667;0.645846;100.00005;0.102;1019;0;1639;3105;4744
171;20.06.2011;2.0;0;6;0;1;1;2;25.4;0.595346;111.9375;0.155475;1018;0;699;3311;4010
172;21.06.2011;3.0;0;6;0;2;1;2;27.2333;0.637646;115.56255;0.171025;474;0;774;4061;4835
174;23.06.2011;3.0;0;6;0;4;1;2;29.1333;0.693833;105.49995;0.238804;925;0;746;4044;4790
175;24.06.2011;3.0;0;6;0;5;1;1;28.9667;0.656583;85.99995;0.222025;779;0;969;4022;4991
176;25.06.2011;;0;6;0;6;0;1;27.8;0.643313;72.49995;0.209571;465;0;1782;3420;5202
177;26.06.2011;3.0;0;6;0;0;0;1;27.2;0.637629;76.99995;0.0945333;976;0;1920;3385;5305
178;27.06.2011;3.0;0;6;0;1;1;2;27.3;0.637004;98.74995;0.107588;819;0;854;3854;4708
179;28.06.2011;3.0;0;6;0;2;1;1;29.7667;0.692558;95.12505;0.144283;997;0;732;3916;4648
182;01.07.2011;3.0;0;7;0;5;1;1;28.9;0.652162;59.4375;0.1026079999999999;795;0;1246;4116;5362
184;03.07.2011;;0;7;0;0;0;2;28.6667;0.668575;102.375;0.228858;722;0;2282;2367;4649
185;04.07.2011;3.0;0;7;1;1;0;2;29.0667;0.665417;95.68755;0.0814791999999999;749;0;3065;2978;6043
186;05.07.2011;3.0;0;7;0;2;1;1;29.8667;0.696338;88.56255;0.1262579999999999;874;0;1031;3634;4665
187;06.07.2011;3.0;0;7;0;3;1;1;28.8;0.685633;111.49995;0.149883;780;0;784;3845;4629
188;07.07.2011;3.0;0;7;0;4;1;1;30.0;0.686871;;0.1592;723;0;754;3838;4592
189;08.07.2011;3.0;0;7;0;5;1;2;28.3667;0.6704829999999999;113.68755;0.225129;1015;0;692;3348;4040
190;09.07.2011;3.0;0;7;0;6;0;1;29.3333;0.664158;91.37505;0.1679119999999999;755;0;1988;3348;5336
191;10.07.2011;3.0;0;7;0;0;0;1;29.9;0.690025;86.74995;0.183471;492;0;1743;3138;4881
192;11.07.2011;3.0;0;7;0;1;1;1;30.5;0.729804;95.37495;0.282337;730;0;723;3363;4086
193;12.07.2011;3.0;0;7;0;2;1;1;31.7667;0.739275;83.87505;0.200254;670;0;662;3596;4258
195;14.07.2011;3.0;0;7;0;4;1;1;27.2333;0.635104;71.4375;0.240667;711;1;888;4196;5084
197;16.07.2011;3.0;0;7;0;6;0;1;27.4667;0.638263;87.75;-1.0;731;0;2418;3505;5923
199;18.07.2011;3.0;0;7;0;1;1;1;29.8667;0.703925;97.6875;0.215804;840;0;841;3617;4458
202;21.07.2011;3.0;0;7;0;4;1;2;32.6;0.826371;103.6875;0.222021;788;0;632;3152;3784
204;23.07.2011;3.0;0;7;0;6;0;1;33.9667;0.804287;75.0;0.131221;944;0;987;2298;3285
205;24.07.2011;3.0;0;7;0;0;0;1;33.2;0.794829;82.62495;0.169171;561;0;1050;2556;3606
206;25.07.2011;3.0;0;7;0;1;1;1;29.7333;0.720958;113.56245;0.0908083;474;0;568;3272;3840
207;26.07.2011;3.0;0;7;0;2;1;1;30.8667;0.696979;81.12495;0.200258;692;0;750;3840;4590
208;27.07.2011;;0;7;0;3;1;1;31.0;0.690667;60.43755;0.183463;654;0;755;3901;4656
211;30.07.2011;3.0;0;7;0;6;0;1;32.1667;0.728537;69.87495;0.168537;637;0;1559;2916;4475
212;31.07.2011;3.0;0;7;0;0;0;1;32.2333;0.729796;72.12495;0.164813;724;0;1524;2778;4302
213;01.08.2011;3.0;0;8;0;1;1;1;30.8667;0.703292;;0.156717;533;0;729;3537;4266
214;02.08.2011;3.0;0;8;0;2;1;1;31.3333;0.707071;73.6875;0.20585;617;0;801;4044;4845
215;03.08.2011;3.0;0;8;0;3;1;2;29.2667;0.679937;98.625;0.1355829999999999;934;0;467;3107;3574
216;04.08.2011;3.0;0;8;0;4;1;2;28.4;0.664788;113.625;0.19715;939;1;799;3777;4576
217;05.08.2011;3.0;0;8;0;5;1;1;28.4333;0.656567;94.62495;0.184696;747;0;1023;3843;4866
218;06.08.2011;3.0;0;8;0;6;0;2;28.6667;0.676154;;0.22825;711;0;1521;2773;4294
219;07.08.2011;3.0;0;8;0;0;0;1;29.7;0.715292;112.93755;0.201487;769;0;1298;2487;3785
221;09.08.2011;3.0;0;8;0;2;1;1;31.0;0.724121;85.56255;0.151121;464;0;907;3695;4602
222;10.08.2011;3.0;0;8;0;3;1;1;30.6667;0.684983;63.62505;0.200258;709;0;884;3896;4780
223;11.08.2011;3.0;0;8;0;4;1;1;28.7;0.651521;63.5625;0.164796;980;0;812;3980;4792
224;12.08.2011;;0;8;0;5;1;1;28.3333;0.654042;62.25;-1.0;835;0;1051;3854;4905
225;13.08.2011;3.0;0;8;0;6;0;2;27.4333;0.645858;109.43745;0.211454;935;0;1504;2646;4150
